GameID,Titles,YearReleased,Ranking,min_players,max_players,NumRatings,AvgRating,weighted_avg,#_of_awards,ExpansionFlag,#_of_expansion_sets,LicensedType,ClassicFlag,Category,boardgame_category
1,Gloomhaven,2017,1,1,4,31254,8.8529,8.8448,23,Y,4,Original,Modern,Board,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']"
2,Pandemic Legacy  Season 1,2015,2,2,4,34729,8.6250,8.6183,20,N,0,Original,Modern,Board,"['Environmental', 'Medical']"
3,Terraforming Mars,2016,3,1,5,48339,8.4230,8.4186,20,Y,15,Original,Modern,Board,"['Economic', 'Environmental', 'Industry / Manufacturing', 'Science Fiction', 'Space Exploration', 'Territory Building']"
4,Through the Ages  A New Story of Civilization,2015,4,2,4,18269,8.4942,8.4822,3,Y,1,Original,Modern,Card,"['Card Game', 'Civilization', 'Economic']"
5,Brass  Birmingham,2018,5,2,4,10070,8.6203,8.5974,6,N,0,Original,Modern,Board,"['Economic', 'Industry / Manufacturing', 'Transportation']"
6,Twilight Imperium (Fourth Edition),2017,6,3,6,9401,8.6897,8.6644,2,N,0,Original,Modern,Board,"['Civilization', 'Economic', 'Negotiation', 'Political', 'Science Fiction', 'Space Exploration']"
7,Twilight Struggle,2005,7,2,2,36644,8.3131,8.3076,13,Y,9,Original,Modern,Board,"['Modern Warfare', 'Political', 'Wargame']"
8,Star Wars  Rebellion,2016,8,2,4,18991,8.4260,8.4148,12,Y,1,Movie_IP,Modern,Board,"['Fighting', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction', 'Wargame']"
9,Gaia Project,2017,9,1,4,12010,8.5069,8.4886,10,N,0,Original,Modern,Board,"['Civilization', 'Economic', 'Science Fiction', 'Space Exploration', 'Territory Building']"
10,Scythe,2016,10,1,5,46526,8.2606,8.2563,23,Y,16,Original,Modern,Board,"['Economic', 'Fighting', 'Science Fiction', 'Territory Building']"
11,Great Western Trail,2016,11,2,4,23133,8.2827,8.2742,18,Y,8,Original,Modern,Board,"['American West', 'Animals']"
12,War of the Ring (Second Edition),2012,12,2,4,11166,8.4494,8.4302,0,Y,5,Original,Modern,Board,"['Adventure', 'Fantasy', 'Fighting', 'Miniatures', 'Novel-based', 'Territory Building']"
13,Spirit Island,2017,13,1,4,16231,8.3243,8.3119,10,Y,8,Original,Modern,Board,"['Age of Reason', 'Environmental', 'Fantasy', 'Fighting', 'Mythology', 'Territory Building']"
14,Terra Mystica,2012,14,2,5,34958,8.1726,8.1672,22,Y,5,Original,Modern,Board,"['Civilization', 'Economic', 'Fantasy', 'Territory Building']"
15,The Castles of Burgundy,2011,15,2,4,40196,8.1274,8.1229,10,Y,14,Original,Modern,Dice,"['Dice', 'Medieval', 'Territory Building']"
16,7 Wonders Duel,2015,16,2,2,47037,8.1083,8.1044,16,Y,4,Original,Modern,Card,"['Ancient', 'Card Game', 'City Building', 'Civilization']"
17,The 7th Continent,2017,17,1,4,12828,8.3607,8.3447,12,Y,12,Original,Modern,Card,"['Adventure', 'Card Game', 'Exploration', 'Science Fiction']"
18,Concordia,2013,18,2,5,22901,8.1102,8.1023,7,Y,7,Original,Modern,Board,"['Ancient', 'Economic', 'Nautical']"
19,Brass  Lancashire,2007,19,2,4,16672,8.1486,8.1375,7,Y,2,Original,Modern,Board,"['Economic', 'Industry / Manufacturing', 'Transportation']"
20,Viticulture Essential Edition,2015,20,1,6,21640,8.1167,8.1083,0,Y,5,Original,Modern,Board,"['Economic', 'Farming']"
21,Arkham Horror  The Card Game,2016,21,1,2,21117,8.1930,8.1840,13,Y,56,Super_Hero_IP,Modern,Card,"['Adventure', 'Card Game', 'Collectible Components', 'Fantasy', 'Horror', 'Novel-based']"
22,Puerto Rico,2002,22,3,5,58836,8.0208,8.0179,18,Y,8,Original,Modern,Board,"['City Building', 'Economic', 'Farming']"
23,A Feast for Odin,2016,23,1,4,13512,8.1822,8.1683,6,Y,5,Original,Modern,Board,"['Economic', 'Industry / Manufacturing', 'Medieval', 'Puzzle']"
24,Mage Knight Board Game,2011,24,1,4,25110,8.1001,8.0930,8,Y,4,Original,Modern,Board,"['Adventure', 'Exploration', 'Fantasy', 'Fighting']"
25,Orleans,2014,25,2,4,18119,8.0817,8.0719,13,Y,22,Original,Modern,Board,"['Medieval', 'Religious', 'Travel']"
26,Caverna  The Cave Farmers,2013,26,1,7,25416,8.0456,8.0387,6,Y,7,Original,Modern,Board,"['Animals', 'Economic', 'Fantasy', 'Farming']"
27,Wingspan,2019,27,1,5,21261,8.1034,8.0950,5,Y,2,Original,Modern,Card,"['Animals', 'Card Game', 'Economic', 'Educational']"
28,Food Chain Magnate,2015,28,2,5,11385,8.1775,8.1611,10,Y,1,Original,Modern,Board,"['Economic', 'Industry / Manufacturing']"
29,Agricola,2007,29,1,5,59458,7.9739,7.9710,32,Y,32,Original,Modern,Board,"['Animals', 'Economic', 'Farming']"
30,Mansions of Madness  Second Edition,2016,30,1,5,19735,8.1171,8.1079,6,Y,7,Original,Modern,Board,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Horror', 'Miniatures']"
31,Blood Rage,2015,31,2,4,28668,8.0064,8.0004,12,Y,6,Original,Modern,Board,"['Fantasy', 'Fighting', 'Miniatures', 'Mythology']"
32,Kingdom Death  Monster,2015,32,1,4,6616,8.7383,8.7019,6,Y,81,Original,Modern,Board,"['Adventure', 'Fantasy', 'Horror', 'Mature / Adult', 'Miniatures', 'Mythology']"
33,Pandemic Legacy  Season 2,2017,33,2,4,8989,8.1990,8.1780,8,N,0,Original,Modern,Board,"['Environmental', 'Exploration', 'Medical']"
34,Power Grid (Recharged Version),2004,34,2,6,52340,7.8795,7.8765,17,Y,29,Original,Modern,Board,"['Economic', 'Industry / Manufacturing']"
35,Mechs vs. Minions,2016,35,2,4,12262,8.0927,8.0781,8,N,0,Original,Modern,Board,"['Fantasy', 'Fighting', 'Miniatures', 'Video Game Theme']"
36,Through the Ages  A Story of Civilization,2006,36,2,4,17285,7.9712,7.9616,11,Y,5,Original,Modern,Board,"['Civilization', 'Economic']"
37,Star Wars  Imperial Assault,2014,37,2,5,18129,8.0460,8.0364,7,Y,49,Movie_IP,Modern,Board,"['Adventure', 'Fighting', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction', 'Wargame']"
38,Tzolk'in  The Mayan Calendar,2012,38,2,4,26626,7.9168,7.9107,21,Y,3,Original,Modern,Board,"['Ancient', 'Civilization', 'Economic', 'Farming', 'Mythology']"
39,Root,2018,39,2,4,13853,8.0609,8.0482,20,Y,4,Original,Modern,Board,"['Animals', 'Fantasy', 'Wargame']"
40,Eclipse,2011,40,2,6,24866,7.9232,7.9167,17,Y,14,Original,Modern,Board,"['Civilization', 'Fighting', 'Science Fiction', 'Space Exploration', 'Wargame']"
41,Azul,2017,41,2,4,38055,7.8708,7.8667,28,Y,5,Original,Modern,Board,"['Abstract Strategy', 'Renaissance']"
42,Le Havre,2008,42,1,5,24266,7.8798,7.8733,20,Y,6,Original,Modern,Board,"['City Building', 'Economic', 'Industry / Manufacturing', 'Nautical']"
43,Nemesis,2018,43,1,5,6262,8.4981,8.4635,1,Y,9,Original,Modern,Board,"['Adventure', 'Horror', 'Miniatures', 'Science Fiction']"
44,Clans of Caledonia,2017,44,1,4,11195,8.0303,8.0149,7,N,0,Original,Modern,Board,"['Economic', 'Farming']"
45,The Voyages of Marco Polo,2015,45,2,4,17199,7.9253,7.9159,15,Y,3,Original,Modern,Dice,"['Dice', 'Economic', 'Medieval', 'Travel']"
46,Robinson Crusoe  Adventures on the Cursed Island,2012,46,1,4,29386,7.8817,7.8763,8,Y,35,Original,Modern,Board,"['Adventure', 'Exploration', 'Fighting', 'Novel-based']"
47,Android  Netrunner,2012,47,2,2,25254,7.8827,7.8765,9,Y,56,Original,Modern,Card,"['Bluffing', 'Card Game', 'Collectible Components', 'Science Fiction']"
